headline,employer,location,webpage_url,ai_focus
"Senior AI-utvecklare, konsultuppdrag Göteborg",Intensogruppen AB,Göteborg,https://arbetsformedlingen.se/platsbanken/annonser/31455902,True
AI-utvecklare  projektanställning för lokal FAQ-/RAG-lösning,Vizzit International AB,Stockholm,https://arbetsformedlingen.se/platsbanken/annonser/31360409,True
AI/ML-utvecklare,Softhouse Nordic AB,Stockholm,https://arbetsformedlingen.se/platsbanken/annonser/31435730,True
AI-utvecklare/AI-ingenjör med praktisk erfarenhet,NXT Interim Stockholm AB,Solna,https://arbetsformedlingen.se/platsbanken/annonser/31498889,True
Senior utvecklare med AI-fokus,Knowit Aktiebolag (publ),Linköping,https://arbetsformedlingen.se/platsbanken/annonser/31392158,True
"Utvecklare sökes  4BrightRX, AI-driven rekryteringsplattform","Wittman, Arnold",Okänd ort,https://arbetsformedlingen.se/platsbanken/annonser/31428566,True
AI/ML Utvecklare till Softhouse i Luleå,Softhouse Nordic AB,Luleå,https://arbetsformedlingen.se/platsbanken/annonser/31373360,True
Python-utvecklare,Syntronic Aktiebolag,Göteborg,https://arbetsformedlingen.se/platsbanken/annonser/31515773,True
.NET-utvecklare,Knightec Group Software and Cloud AB,Göteborg,https://arbetsformedlingen.se/platsbanken/annonser/31513736,False
Python-utvecklare,Syntronic Aktiebolag,Stockholm,https://arbetsformedlingen.se/platsbanken/annonser/31502871,True
